ticker,volume,open,close,high,low,window_start,transactions
C:EURUSD,120,1.08063,1.08033,1.0807,1.0803,1679961600000,120
C:EURUSD,120,1.08034,1.08055,1.0806,1.0803,1679961660000,120
C:EURUSD,83,1.0804,1.08066,1.08068,1.0803,1679961720000,83
C:EURUSD,104,1.08067,1.08066,1.0808,1.0805,1679961780000,104
C:EURUSD,87,1.08072,1.08075,1.0808,1.0805,1679961840000,87
C:EURUSD,87,1.08072,1.0807,1.08074,1.0805,1679961900000,87
C:EURUSD,71,1.08072,1.08076,1.0808,1.0805,1679961960000,71
C:EURUSD,65,1.08075,1.08064,1.0808,1.0805,1679962020000,65
C:EURUSD,126,1.08063,1.08079,1.0808,1.0805,1679962080000,126
C:EURUSD,74,1.0808,1.08069,1.081,1.0806,1679962140000,74
C:EURUSD,99,1.08068,1.08064,1.08072,1.0804,1679962200000,99
C:EURUSD,111,1.08063,1.0808,1.08083,1.0805,1679962260000,111
C:EURUSD,134,1.08084,1.08101,1.0812,1.0808,1679962320000,134
C:EURUSD,105,1.08101,1.08093,1.08103,1.0807,1679962380000,105
C:EURUSD,89,1.0807,1.08088,1.081,1.0807,1679962440000,89
C:EURUSD,112,1.08087,1.08085,1.08091,1.0807,1679962500000,112
C:EURUSD,65,1.08084,1.08077,1.0809,1.0806,1679962560000,65
C:EURUSD,60,1.0807,1.08078,1.08083,1.0806,1679962620000,60
C:EURUSD,80,1.08075,1.08079,1.0808,1.0805,1679962680000,80
C:EURUSD,81,1.08078,1.08079,1.08087,1.0806,1679962740000,81
C:EURUSD,78,1.08078,1.08069,1.0808,1.0805,1679962800000,78
C:EURUSD,90,1.08071,1.08072,1.0808,1.0806,1679962860000,90
C:EURUSD,101,1.08075,1.08082,1.08084,1.0806,1679962920000,101
C:EURUSD,66,1.08081,1.08079,1.0809,1.0806,1679962980000,66
C:EURUSD,90,1.08078,1.08088,1.0809,1.0806,1679963040000,90
C:EURUSD,65,1.08089,1.08088,1.08092,1.0807,1679963100000,65
C:EURUSD,68,1.08086,1.08087,1.08095,1.0807,1679963160000,68
C:EURUSD,51,1.08087,1.08077,1.0809,1.0807,1679963220000,51
C:EURUSD,96,1.08078,1.08073,1.0808,1.0806,1679963280000,96
C:EURUSD,112,1.08074,1.08074,1.0808,1.0805,1679963340000,112
C:EURUSD,114,1.08078,1.08074,1.08085,1.0806,1679963400000,114
C:EURUSD,91,1.08078,1.08087,1.0809,1.0806,1679963460000,91
C:EURUSD,94,1.08086,1.08086,1.08094,1.0807,1679963520000,94
C:EURUSD,82,1.08084,1.08085,1.08093,1.0807,1679963580000,82
C:EURUSD,100,1.08081,1.08091,1.08094,1.0807,1679963640000,100
C:EURUSD,107,1.08092,1.08092,1.08093,1.0807,1679963700000,107
C:EURUSD,98,1.08092,1.08092,1.081,1.0807,1679963760000,98
C:EURUSD,88,1.08093,1.08103,1.08103,1.0808,1679963820000,88
C:EURUSD,85,1.08103,1.08112,1.08119,1.0808,1679963880000,85
C:EURUSD,65,1.0812,1.08116,1.0812,1.0809,1679963940000,65
C:EURUSD,66,1.08115,1.08128,1.0813,1.081,1679964000000,66
C:EURUSD,104,1.08127,1.0813,1.08138,1.0811,1679964060000,104
C:EURUSD,134,1.08134,1.0812,1.0814,1.08115,1679964120000,134
C:EURUSD,94,1.0811,1.08128,1.0813,1.081,1679964180000,94
C:EURUSD,76,1.08129,1.08128,1.08131,1.0811,1679964240000,76
C:EURUSD,100,1.08124,1.08125,1.0813,1.081,1679964300000,100
C:EURUSD,74,1.08126,1.08123,1.0813,1.081,1679964360000,74
